"Price","BuildingArea","Suburb","Car","YearBuilt","Distance","HighPrice","HighPriceFactor"
1026000,108,"Brunswick",0,1905,5.2,1,"High price"
1802500,93,"Brunswick",1,1910,5.2,1,"High price"
1500000,209,"Brunswick",1,1890,5.2,1,"High price"
2230000,287,"Brunswick",3,1940,5.2,1,"High price"
410000,66,"Brunswick",1,2000,5.2,0,"Low price"
272500,40,"Brunswick",1,1970,5.2,0,"Low price"
680000,100,"Brunswick",1,2016,5.2,0,"Low price"
4e+05,61,"Brunswick",1,1970,5.2,0,"Low price"
950000,96,"Brunswick",0,1910,5.2,1,"High price"
845500,90,"Brunswick",1,1890,5.2,0,"Low price"
605000,78,"Brunswick",1,2009,5.2,0,"Low price"
445000,61,"Brunswick",1,1975,5.2,0,"Low price"
659500,85,"Brunswick",1,1970,5.2,0,"Low price"
6e+05,75,"Brunswick",1,2011,5.2,0,"Low price"
1115000,139,"Brunswick",0,1900,5.2,1,"High price"
1125000,91,"Brunswick",1,1910,5.2,1,"High price"
855000,97,"Brunswick",1,1930,5.2,0,"Low price"
940000,140,"Brunswick",1,2016,5.2,1,"High price"
750000,88,"Brunswick",1,2013,5.2,0,"Low price"
1056000,108,"Brunswick",1,1910,5.2,1,"High price"
880000,152,"Brunswick",1,2000,5.2,0,"Low price"
1222500,126,"Brunswick",0,1890,5.2,1,"High price"
955000,110,"Brunswick",2,2007,5.2,1,"High price"
587000,65,"Brunswick",1,1970,5.2,0,"Low price"
1060000,121,"Brunswick",0,1935,5.2,1,"High price"
890000,93,"Brunswick",1,1900,5.2,0,"Low price"
685000,100,"Brunswick",1,2002,5.2,0,"Low price"
976000,162,"Brunswick",1,2005,5.2,1,"High price"
641000,112,"Brunswick",1,1900,5.2,0,"Low price"
770000,87,"Brunswick",0,1910,5.2,0,"Low price"
279500,51,"Brunswick",1,1970,5.2,0,"Low price"
1800000,180,"Brunswick",3,1900,5.2,1,"High price"
1350000,151,"Brunswick",1,1940,5.2,1,"High price"
1320000,156,"Brunswick",1,1920,5.2,1,"High price"
825000,130,"Brunswick",1,1900,5.2,0,"Low price"
1261000,100,"Brunswick",1,1910,5.2,1,"High price"
1045000,105,"Brunswick",2,1890,5.2,1,"High price"
1044000,85,"Brunswick",1,2000,5.2,1,"High price"
1050000,126,"Brunswick",1,1910,5.2,1,"High price"
1691500,152,"Brunswick",3,1920,5.2,1,"High price"
1075000,108,"Brunswick",0,1930,5.2,1,"High price"
501000,80,"Brunswick",1,2010,5.2,0,"Low price"
1260000,98,"Brunswick",6,1960,5.2,1,"High price"
1650000,141,"Brunswick",2,1920,5.2,1,"High price"
601000,57,"Brunswick",1,1970,5.2,0,"Low price"
1015000,86,"Brunswick",0,1920,5.2,1,"High price"
625000,114,"Brunswick",1,1930,5.2,0,"Low price"
1700000,195,"Brunswick",1,1945,5.2,1,"High price"
435000,57,"Brunswick",1,1973,5.2,0,"Low price"
2500000,266,"Brunswick",2,1890,5.2,1,"High price"
860000,88,"Brunswick",1,1910,5.2,0,"Low price"
491000,66,"Brunswick",1,1960,5.2,0,"Low price"
985000,89,"Brunswick",2,1940,5.2,1,"High price"
1250000,162,"Brunswick",1,1890,5.2,1,"High price"
641000,112,"Brunswick",1,1900,5.2,0,"Low price"
860000,104,"Brunswick",1,1890,5.2,0,"Low price"
705000,68,"Brunswick",1,1910,5.2,0,"Low price"
880000,117,"Brunswick",1,1915,5.2,0,"Low price"
754000,105,"Brunswick",1,2000,5.2,0,"Low price"
590000,74,"Brunswick",1,2004,5.2,0,"Low price"
575000,66,"Brunswick",1,1950,5.2,0,"Low price"
1510000,150,"Brunswick",0,1920,5.2,1,"High price"
801000,87,"Brunswick",1,2007,5.2,0,"Low price"
820000,126,"Brunswick",2,2011,5.2,0,"Low price"
370000,45,"Brunswick",1,1970,5.2,0,"Low price"
1170000,104,"Brunswick",0,1890,5.2,1,"High price"
1790000,129,"Brunswick",1,1920,5.2,1,"High price"
640000,118,"Brunswick",1,2000,5.2,0,"Low price"
1875000,207,"Brunswick",2,1958,5.2,1,"High price"
1053000,1041,"Brunswick",1,1925,5.2,1,"High price"
705000,111,"Brunswick",1,2012,5.2,0,"Low price"
1217000,127,"Brunswick",0,1920,5.2,1,"High price"
1020000,119,"Brunswick",3,1943,5.2,1,"High price"
1340000,132,"Brunswick",1,1910,5.2,1,"High price"
1410000,214,"Brunswick",1,1916,5.2,1,"High price"
1550000,126,"Brunswick",1,1900,5.2,1,"High price"
740000,122,"Brunswick",1,2010,5.2,0,"Low price"
592500,89,"Brunswick",2,2002,5.2,0,"Low price"
370000,54,"Brunswick",1,1965,5.2,0,"Low price"
765000,120,"Brunswick",1,1880,5.2,0,"Low price"
772000,82,"Brunswick",1,1890,5.2,0,"Low price"
1210000,130,"Brunswick",1,1890,5.2,1,"High price"
1755000,199,"Brunswick",1,1910,5.2,1,"High price"
945000,103,"Brunswick",2,1910,5.2,1,"High price"
755000,157,"Brunswick",1,1930,5.2,0,"Low price"
1650000,210,"Hawthorn",2,2005,4.6,1,"High price"
2670000,235,"Hawthorn",1,1905,4.6,1,"High price"
348000,53,"Hawthorn",1,1950,4.6,0,"Low price"
1189000,122,"Hawthorn",1,1969,4.6,1,"High price"
610000,82,"Hawthorn",1,2014,4.6,0,"Low price"
492000,63,"Hawthorn",1,1995,4.6,0,"Low price"
806000,64,"Hawthorn",1,1930,4.6,0,"Low price"
2e+06,176,"Hawthorn",1,1940,4.6,1,"High price"
753000,88,"Hawthorn",2,1960,4.6,0,"Low price"
330000,52,"Hawthorn",1,1970,4.6,0,"Low price"
1420000,108,"Hawthorn",0,1890,4.6,1,"High price"
495000,60,"Hawthorn",1,2014,4.6,0,"Low price"
292000,56,"Hawthorn",0,1966,4.6,0,"Low price"
580000,76,"Hawthorn",1,2003,4.6,0,"Low price"
1300000,155,"Hawthorn",1,1938,4.6,1,"High price"
1300000,90,"Hawthorn",0,1900,4.6,1,"High price"
440000,52,"Hawthorn",1,1970,4.6,0,"Low price"
1e+06,145,"Hawthorn",2,1999,4.6,1,"High price"
1741000,109,"Hawthorn",1,1910,4.6,1,"High price"
655000,78,"Hawthorn",1,1960,4.6,0,"Low price"
488000,57,"Hawthorn",1,2004,4.6,0,"Low price"
2065000,150,"Hawthorn",1,1910,4.6,1,"High price"
350000,51,"Hawthorn",1,1960,4.6,0,"Low price"
1712000,130,"Hawthorn",1,1900,4.6,1,"High price"
480000,50,"Hawthorn",1,1940,4.6,0,"Low price"
3225000,220,"Hawthorn",2,1890,4.6,1,"High price"
4e+05,41,"Hawthorn",1,1950,4.6,0,"Low price"
1650000,180,"Hawthorn",3,2002,4.6,1,"High price"
3950000,340,"Hawthorn",3,1890,4.6,1,"High price"
587500,72,"Hawthorn",1,1965,4.6,0,"Low price"
560000,70,"Hawthorn",1,2013,4.6,0,"Low price"
1936000,173,"Hawthorn",1,1890,4.6,1,"High price"
4250000,435,"Hawthorn",3,1930,4.6,1,"High price"
630000,75,"Hawthorn",1,1970,4.6,0,"Low price"
1560000,148,"Hawthorn",0,1910,4.6,1,"High price"
840000,88,"Hawthorn",2,2014,4.6,0,"Low price"
1780000,178,"Hawthorn",2,2011,4.6,1,"High price"
815000,93,"Hawthorn",1,1940,4.6,0,"Low price"
1975000,196,"Hawthorn",1,2010,4.6,1,"High price"
657500,73,"Hawthorn",1,1965,4.6,0,"Low price"
5050000,373,"Hawthorn",2,1913,4.6,1,"High price"
445000,52,"Hawthorn",1,1970,4.6,0,"Low price"
1180000,92,"Hawthorn",3,1900,4.6,1,"High price"
470000,70,"Hawthorn",1,1970,4.6,0,"Low price"
485000,76,"Hawthorn",1,2005,4.6,0,"Low price"
1800000,158,"Hawthorn",4,1940,4.6,1,"High price"
1855000,125,"Hawthorn",1,1900,4.6,1,"High price"
665000,70,"Hawthorn",3,1965,4.6,0,"Low price"
1551000,103,"Hawthorn",1,1890,4.6,1,"High price"
612500,71,"Hawthorn",1,1960,4.6,0,"Low price"
2410000,171,"Hawthorn",0,1890,4.6,1,"High price"
715000,82,"Hawthorn",1,2001,4.6,0,"Low price"
1055000,151,"Hawthorn",1,1975,4.6,1,"High price"
1976000,275,"Hawthorn",2,1890,4.6,1,"High price"
499000,56,"Hawthorn",1,1960,4.6,0,"Low price"
495000,85,"Hawthorn",1,1970,4.6,0,"Low price"
3750000,344,"Hawthorn",2,1920,4.6,1,"High price"
