"Suburb","BuildingArea","Price","CooksD"
"Brunswick",1041,1053000,6.77697165373072
"Hawthorn",857,2200000,1.25726164682437
"Hawthorn",373,5050000,0.118475425180599
"Hawthorn",435,4250000,0.0531730290934184
"Hawthorn",340,3950000,0.0366349587288289
"Hawthorn",344,3750000,0.0275290976193651
"Brunswick",425,1585000,0.0193235600268847
"Craigieburn",405,770000,0.0165594611982699
"Brunswick",0,1500000,0.0080861754968432
"Craigieburn",0,590000,0.00753845171031732
"Craigieburn",0,540000,0.00660731191614634
"Craigieburn",0,412500,0.00451062925389425
"Brunswick",320,2545000,0.00441925722578589
